Run,Condition,Bioreplicate
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
"""FileIDFromProteomeDiscoverer""","""AnimalCondition""","""AnimalIdentifier"""
